回号,抽せん日,当せん番号,digit1,digit2,digit3,digit4,straight_payout,box_payout,set_straight_payout,set_box_payout
第0189回,1996/09/13,7981,7,9,8,1,1501200.0,62500.0,781800.0,31200.0
第0190回,1996/09/17,6332,6,3,3,2,1154400.0,96200.0,625300.0,48100.0
第0191回,1996/09/20,7301,7,3,0,1,1005800.0,41900.0,523800.0,20900.0
第0192回,1996/09/24,3371,3,3,7,1,835700.0,69600.0,452600.0,34800.0
第0193回,1996/09/27,5312,5,3,1,2,728200.0,30300.0,379200.0,15100.0
第0194回,1996/10/01,1745,1,7,4,5,876100.0,36500.0,456300.0,18200.0
第0195回,1996/10/04,8693,8,6,9,3,959000.0,39900.0,499400.0,19900.0
第0196回,1996/10/08,8316,8,3,1,6,833600.0,34700.0,434100.0,17300.0
第0197回,1996/10/11,2697,2,6,9,7,1238100.0,51500.0,644800.0,25700.0
第0198回,1996/10/15,8234,8,2,3,4,1114300.0,46400.0,580300.0,23200.0
第0199回,1996/10/18,7656,7,6,5,6,1116700.0,93000.0,604800.0,46500.0
第0200回,1996/10/22,7441,7,4,4,1,1023500.0,85200.0,554300.0,42600.0
第0201回,1996/10/25,2398,2,3,9,8,965700.0,40200.0,502900.0,20100.0
第0202回,1996/10/29,7202,7,2,0,2,956700.0,79700.0,518200.0,39800.0
第0203回,1996/11/01,2210,2,2,1,0,653000.0,54400.0,353700.0,27200.0
第0204回,1996/11/05,7832,7,8,3,2,871400.0,36300.0,453800.0,18100.0
第0205回,1996/11/08,5797,5,7,9,7,1507500.0,125600.0,816500.0,62800.0
第0206回,1996/11/12,382,0,3,8,2,1411900.0,58800.0,735300.0,29400.0
第0207回,1996/11/15,7913,7,9,1,3,831800.0,34600.0,433200.0,17300.0
第0208回,1996/11/19,9170,9,1,7,0,1072700.0,44600.0,558600.0,22300.0
第0209回,1996/11/22,6613,6,6,1,3,1097100.0,91400.0,594200.0,45700.0
第0210回,1996/11/26,7158,7,1,5,8,1185900.0,49400.0,617600.0,24700.0
第0211回,1996/11/29,5301,5,3,0,1,746500.0,31100.0,388800.0,15500.0
第0212回,1996/12/03,9475,9,4,7,5,1058000.0,44000.0,551000.0,22000.0
第0213回,1996/12/06,7251,7,2,5,1,637700.0,26500.0,332100.0,13200.0
第0214回,1996/12/10,1449,1,4,4,9,1018600.0,84800.0,551700.0,42400.0
第0215回,1996/12/13,2223,2,2,2,3,1308300.0,327000.0,817600.0,163500.0
第0216回,1996/12/17,4695,4,6,9,5,1181600.0,49200.0,615400.0,24600.0
第0217回,1996/12/20,4316,4,3,1,6,710000.0,29500.0,369700.0,14700.0
第0218回,1996/12/24,3698,3,6,9,8,725800.0,30200.0,378000.0,15100.0
第0219回,1996/12/27,6623,6,6,2,3,779700.0,64900.0,422300.0,32400.0
第0220回,1997/01/07,6684,6,6,8,4,1895200.0,157900.0,1026500.0,78900.0
第0221回,1997/01/10,2507,2,5,0,7,763100.0,31700.0,397400.0,15800.0
第0222回,1997/01/14,887,0,8,8,7,1673200.0,139400.0,906300.0,69700.0
第0223回,1997/01/17,1041,1,0,4,1,716700.0,59700.0,388200.0,29800.0
第0224回,1997/01/21,239,0,2,3,9,1220000.0,50800.0,635400.0,25400.0
第0225回,1997/01/24,4147,4,1,4,7,768900.0,64000.0,416400.0,32000.0
第0226回,1997/01/28,5886,5,8,8,6,1222700.0,101800.0,662200.0,50900.0
第0227回,1997/01/31,5369,5,3,6,9,729700.0,30400.0,380000.0,15200.0
第0228回,1997/02/04,9889,9,8,8,9,906400.0,151000.0,528700.0,75500.0
第0229回,1997/02/07,9171,9,1,7,1,1081800.0,90100.0,585900.0,45000.0
第0230回,1997/02/11,7411,7,4,1,1,679100.0,56500.0,367800.0,28200.0
第0231回,1997/02/14,7565,7,5,6,5,1142300.0,95100.0,618700.0,47500.0
第0232回,1997/02/18,8532,8,5,3,2,692600.0,28800.0,360700.0,14400.0
第0233回,1997/02/21,1985,1,9,8,5,1251100.0,52100.0,651600.0,26000.0
第0234回,1997/02/25,7671,7,6,7,1,1178000.0,98100.0,638000.0,49000.0
第0235回,1997/02/28,4080,4,0,8,0,1355800.0,112900.0,734300.0,56400.0
第0236回,1997/03/04,1493,1,4,9,3,1050800.0,43700.0,547200.0,21800.0
第0237回,1997/03/07,5051,5,0,5,1,881300.0,73400.0,477300.0,36700.0
第0238回,1997/03/11,9401,9,4,0,1,943900.0,39300.0,491600.0,19600.0
第0239回,1997/03/14,438,0,4,3,8,1408400.0,58600.0,733500.0,29300.0
第0240回,1997/03/18,1173,1,1,7,3,941900.0,78400.0,510100.0,39200.0
第0241回,1997/03/21,557,0,5,5,7,1234000.0,102800.0,668400.0,51400.0
第0242回,1997/03/25,7754,7,7,5,4,881400.0,73400.0,477400.0,36700.0
第0243回,1997/03/28,7702,7,7,0,2,1073000.0,89400.0,581200.0,44700.0
第0244回,1997/04/01,4612,4,6,1,2,643500.0,26800.0,335100.0,13400.0
第0245回,1997/04/04,2108,2,1,0,8,781100.0,32500.0,406800.0,16200.0
第0246回,1997/04/08,747,0,7,4,7,1240500.0,103300.0,671900.0,51600.0
第0247回,1997/04/11,127,0,1,2,7,452700.0,18800.0,235700.0,9400.0
第0248回,1997/04/15,6178,6,1,7,8,1497300.0,62300.0,779800.0,31100.0
第0249回,1997/04/18,6471,6,4,7,1,733800.0,30500.0,382100.0,15200.0
第0250回,1997/04/22,4590,4,5,9,0,1244600.0,51800.0,648200.0,25900.0
第0251回,1997/04/25,6937,6,9,3,7,1307300.0,54400.0,680800.0,27200.0
第0252回,1997/04/29,9871,9,8,7,1,912000.0,38000.0,475000.0,19000.0
第0253回,1997/05/02,9434,9,4,3,4,1360000.0,113300.0,736600.0,56600.0
第0254回,1997/05/06,6805,6,8,0,5,1260700.0,52500.0,656600.0,26200.0
第0255回,1997/05/09,6757,6,7,5,7,932600.0,77700.0,505100.0,38800.0
第0256回,1997/05/13,8575,8,5,7,5,904800.0,75400.0,490100.0,37700.0
第0257回,1997/05/16,930,0,9,3,0,673600.0,56100.0,364800.0,28000.0
第0258回,1997/05/20,4714,4,7,1,4,531100.0,44200.0,287600.0,22100.0
第0259回,1997/05/23,5339,5,3,3,9,1356800.0,113000.0,734900.0,56500.0
第0260回,1997/05/27,1203,1,2,0,3,511700.0,21300.0,266500.0,10600.0
第0261回,1997/05/30,2045,2,0,4,5,688700.0,28600.0,358600.0,14300.0
第0262回,1997/06/03,6628,6,6,2,8,1107100.0,92200.0,599600.0,46100.0
第0263回,1997/06/06,4185,4,1,8,5,737800.0,30700.0,384200.0,15300.0
第0264回,1997/06/10,9888,9,8,8,8,1641300.0,410300.0,1025800.0,205100.0
第0265回,1997/06/13,4112,4,1,1,2,714500.0,59500.0,387000.0,29700.0
第0266回,1997/06/17,2310,2,3,1,0,742600.0,30900.0,386700.0,15400.0
第0267回,1997/06/20,5949,5,9,4,9,1385400.0,115400.0,750400.0,57700.0
第0268回,1997/06/24,8375,8,3,7,5,1120000.0,46600.0,583300.0,23300.0
第0269回,1997/06/27,628,0,6,2,8,473700.0,19700.0,246700.0,9800.0
第0270回,1997/07/01,6023,6,0,2,3,849900.0,35400.0,442600.0,17700.0
第0271回,1997/07/04,3730,3,7,3,0,993100.0,82700.0,537900.0,41300.0
第0272回,1997/07/08,613,0,6,1,3,602400.0,25100.0,313700.0,12500.0
第0273回,1997/07/11,2992,2,9,9,2,1421300.0,236800.0,829000.0,118400.0
第0274回,1997/07/15,1026,1,0,2,6,242600.0,10100.0,126300.0,5000.0
第0275回,1997/07/18,800,0,8,0,0,1681100.0,420200.0,1050600.0,210100.0
第0276回,1997/07/22,576,0,5,7,6,2007000.0,83600.0,1045300.0,41800.0
第0277回,1997/07/25,999,0,9,9,9,664300.0,166000.0,415100.0,83000.0
第0278回,1997/07/29,9303,9,3,0,3,1095600.0,91300.0,593400.0,45600.0
第0279回,1997/08/01,178,0,1,7,8,917400.0,38200.0,477800.0,19100.0
第0280回,1997/08/05,2937,2,9,3,7,1117200.0,46500.0,581800.0,23200.0
第0281回,1997/08/08,4834,4,8,3,4,1216500.0,101300.0,658900.0,50600.0
第0282回,1997/08/12,8882,8,8,8,2,1612700.0,403100.0,1007900.0,201500.0
第0283回,1997/08/15,8106,8,1,0,6,1117900.0,46500.0,582200.0,23200.0
第0284回,1997/08/19,5086,5,0,8,6,975900.0,40600.0,508200.0,20300.0
第0285回,1997/08/22,295,0,2,9,5,1304400.0,54300.0,679300.0,27100.0
第0286回,1997/08/26,6670,6,6,7,0,811300.0,67600.0,439400.0,33800.0
第0287回,1997/08/29,1689,1,6,8,9,1175500.0,48900.0,612200.0,24400.0
第0288回,1997/09/02,2867,2,8,6,7,1197200.0,49800.0,623500.0,24900.0
第0289回,1997/09/05,6254,6,2,5,4,1106700.0,46100.0,576400.0,23000.0
第0290回,1997/09/09,2990,2,9,9,0,908300.0,75600.0,491900.0,37800.0
第0291回,1997/09/12,7264,7,2,6,4,976100.0,40600.0,508300.0,20300.0
第0292回,1997/09/16,3009,3,0,0,9,1109700.0,92400.0,601000.0,46200.0
第0293回,1997/09/19,8289,8,2,8,9,1365100.0,113700.0,739400.0,56800.0
第0294回,1997/09/23,8516,8,5,1,6,1040100.0,43300.0,541700.0,21600.0
第0295回,1997/09/26,2814,2,8,1,4,854500.0,35600.0,445000.0,17800.0
第0296回,1997/09/30,6809,6,8,0,9,866900.0,36100.0,451500.0,18000.0
第0297回,1997/10/03,9041,9,0,4,1,583500.0,24300.0,303900.0,12100.0
第0298回,1997/10/06,9472,9,4,7,2,1140300.0,47500.0,593900.0,23700.0
第0299回,1997/10/08,2565,2,5,6,5,1230600.0,102500.0,666500.0,51200.0
第0300回,1997/10/10,1116,1,1,1,6,441000.0,110200.0,275600.0,55100.0
第0301回,1997/10/13,7554,7,5,5,4,1283000.0,106900.0,694900.0,53400.0
第0302回,1997/10/15,5049,5,0,4,9,833900.0,34700.0,434300.0,17300.0
第0303回,1997/10/17,5090,5,0,9,0,853900.0,71100.0,462500.0,35500.0
第0304回,1997/10/20,6444,6,4,4,4,1801200.0,450300.0,1125700.0,225100.0
第0305回,1997/10/22,7227,7,2,2,7,640600.0,106700.0,373600.0,53300.0
第0306回,1997/10/24,6279,6,2,7,9,1118700.0,46600.0,582600.0,23300.0
第0307回,1997/10/27,4014,4,0,1,4,732900.0,61000.0,396900.0,30500.0
第0308回,1997/10/29,1879,1,8,7,9,1364500.0,56800.0,710600.0,28400.0
第0309回,1997/10/31,6418,6,4,1,8,908000.0,37800.0,472900.0,18900.0
第0310回,1997/11/03,7215,7,2,1,5,883300.0,36800.0,460000.0,18400.0
第0311回,1997/11/05,8466,8,4,6,6,1370200.0,114100.0,742100.0,57000.0
第0312回,1997/11/07,2796,2,7,9,6,1056400.0,44000.0,550200.0,22000.0
第0313回,1997/11/10,4821,4,8,2,1,861600.0,35900.0,448700.0,17900.0
第0314回,1997/11/12,5118,5,1,1,8,960700.0,80000.0,520300.0,40000.0
第0315回,1997/11/14,9989,9,9,8,9,883100.0,220700.0,551900.0,110300.0
第0316回,1997/11/17,535,0,5,3,5,1433900.0,119400.0,776600.0,59700.0
第0317回,1997/11/19,1650,1,6,5,0,990200.0,41200.0,515700.0,20600.0
