draw_no,draw_date,winning_number,digit1,digit2,digit3,digit4,straight_payout,box_payout,set_straight_payout,set_box_payout
202,1996-10-29,7202,7,2,0,2,956700,79700,518200,39800
203,1996-11-01,2210,2,2,1,0,653000,54400,353700,27200
204,1996-11-05,7832,7,8,3,2,871400,36300,453800,18100
205,1996-11-08,5797,5,7,9,7,1507500,125600,816500,62800
206,1996-11-12,0382,0,3,8,2,1411900,58800,735300,29400
207,1996-11-15,7913,7,9,1,3,831800,34600,433200,17300
208,1996-11-19,9170,9,1,7,0,1072700,44600,558600,22300
209,1996-11-22,6613,6,6,1,3,1097100,91400,594200,45700
210,1996-11-26,7158,7,1,5,8,1185900,49400,617600,24700
211,1996-11-29,5301,5,3,0,1,746500,31100,388800,15500
212,1996-12-03,9475,9,4,7,5,1058000,44000,551000,22000
213,1996-12-06,7251,7,2,5,1,637700,26500,332100,13200
214,1996-12-10,1449,1,4,4,9,1018600,84800,551700,42400
215,1996-12-13,2223,2,2,2,3,1308300,327000,817600,163500
216,1996-12-17,4695,4,6,9,5,1181600,49200,615400,24600
217,1996-12-20,4316,4,3,1,6,710000,29500,369700,14700
218,1996-12-24,3698,3,6,9,8,725800,30200,378000,15100
219,1996-12-27,6623,6,6,2,3,779700,64900,422300,32400
220,1997-01-07,6684,6,6,8,4,1895200,157900,1026500,78900
221,1997-01-10,2507,2,5,0,7,763100,31700,397400,15800
222,1997-01-14,0887,0,8,8,7,1673200,139400,906300,69700
223,1997-01-17,1041,1,0,4,1,716700,59700,388200,29800
224,1997-01-21,0239,0,2,3,9,1220000,50800,635400,25400
225,1997-01-24,4147,4,1,4,7,768900,64000,416400,32000
226,1997-01-28,5886,5,8,8,6,1222700,101800,662200,50900
227,1997-01-31,5369,5,3,6,9,729700,30400,380000,15200
228,1997-02-04,9889,9,8,8,9,906400,151000,528700,75500
229,1997-02-07,9171,9,1,7,1,1081800,90100,585900,45000
230,1997-02-11,7411,7,4,1,1,679100,56500,367800,28200
231,1997-02-14,7565,7,5,6,5,1142300,95100,618700,47500
232,1997-02-18,8532,8,5,3,2,692600,28800,360700,14400
233,1997-02-21,1985,1,9,8,5,1251100,52100,651600,26000
234,1997-02-25,7671,7,6,7,1,1178000,98100,638000,49000
235,1997-02-28,4080,4,0,8,0,1355800,112900,734300,56400
236,1997-03-04,1493,1,4,9,3,1050800,43700,547200,21800
237,1997-03-07,5051,5,0,5,1,881300,73400,477300,36700
238,1997-03-11,9401,9,4,0,1,943900,39300,491600,19600
239,1997-03-14,0438,0,4,3,8,1408400,58600,733500,29300
240,1997-03-18,1173,1,1,7,3,941900,78400,510100,39200
241,1997-03-21,0557,0,5,5,7,1234000,102800,668400,51400
242,1997-03-25,7754,7,7,5,4,881400,73400,477400,36700
243,1997-03-28,7702,7,7,0,2,1073000,89400,581200,44700
244,1997-04-01,4612,4,6,1,2,643500,26800,335100,13400
245,1997-04-04,2108,2,1,0,8,781100,32500,406800,16200
246,1997-04-08,0747,0,7,4,7,1240500,103300,671900,51600
247,1997-04-11,0127,0,1,2,7,452700,18800,235700,9400
248,1997-04-15,6178,6,1,7,8,1497300,62300,779800,31100
249,1997-04-18,6471,6,4,7,1,733800,30500,382100,15200
250,1997-04-22,4590,4,5,9,0,1244600,51800,648200,25900
251,1997-04-25,6937,6,9,3,7,1307300,54400,680800,27200
252,1997-04-29,9871,9,8,7,1,912000,38000,475000,19000
253,1997-05-02,9434,9,4,3,4,1360000,113300,736600,56600
254,1997-05-06,6805,6,8,0,5,1260700,52500,656600,26200
255,1997-05-09,6757,6,7,5,7,932600,77700,505100,38800
256,1997-05-13,8575,8,5,7,5,904800,75400,490100,37700
257,1997-05-16,0930,0,9,3,0,673600,56100,364800,28000
258,1997-05-20,4714,4,7,1,4,531100,44200,287600,22100
259,1997-05-23,5339,5,3,3,9,1356800,113000,734900,56500
260,1997-05-27,1203,1,2,0,3,511700,21300,266500,10600
261,1997-05-30,2045,2,0,4,5,688700,28600,358600,14300
262,1997-06-03,6628,6,6,2,8,1107100,92200,599600,46100
263,1997-06-06,4185,4,1,8,5,737800,30700,384200,15300
264,1997-06-10,9888,9,8,8,8,1641300,410300,1025800,205100
265,1997-06-13,4112,4,1,1,2,714500,59500,387000,29700
266,1997-06-17,2310,2,3,1,0,742600,30900,386700,15400
267,1997-06-20,5949,5,9,4,9,1385400,115400,750400,57700
268,1997-06-24,8375,8,3,7,5,1120000,46600,583300,23300
